Category,Subcategory,Item,Quality,Price,Additional_Info,Season,Location,Growth_Days,Regrows
Fish,Basic,Small Fish,Base,50,Grilled: 70G,All Seasons,Pond,,
Fish,Basic,Medium Fish,Base,80,Grilled: 110G,All Seasons,River,,
Fish,Basic,Large Fish,Base,120,Grilled: 160G,All Seasons,River,,
Fish,Ocean,Sea Bream,Base,150,Grilled: 200G,Spring/Summer,Ocean,,
Fish,Ocean,Tuna,Base,800,Grilled: 1050G,Summer/Fall,Ocean,,
Fish,River,Salmon,Base,200,Grilled: 260G,Fall,River,,
Fish,River,Rainbow Trout,Base,180,Grilled: 235G,Spring/Fall,River,,
Crops,Spring,Turnip,Decent,170,,Spring,,4,No
Crops,Spring,Turnip,Good,204,,Spring,,4,No
Crops,Spring,Turnip,Perfect,255,,Spring,,4,No
Crops,Spring,Turnip,Shining,340,,Spring,,4,No
Crops,Spring,Potato,Decent,190,,Spring,,7,No
Crops,Spring,Potato,Good,228,,Spring,,7,No
Crops,Spring,Potato,Perfect,285,,Spring,,7,No
Crops,Spring,Potato,Shining,380,,Spring,,7,No
Crops,Spring,Strawberry,Decent,180,,Spring,,9,Yes (3 days)
Crops,Spring,Strawberry,Good,216,,Spring,,9,Yes (3 days)
Crops,Spring,Strawberry,Perfect,270,,Spring,,9,Yes (3 days)
Crops,Spring,Strawberry,Shining,410,,Spring,,9,Yes (3 days)
Crops,Spring,Cabbage,Decent,280,,Spring,,14,No
Crops,Spring,Cabbage,Good,336,,Spring,,14,No
Crops,Spring,Cabbage,Perfect,420,,Spring,,14,No
Crops,Spring,Cabbage,Shining,560,,Spring,,14,No
Crops,Summer,Corn,Decent,160,,Summer,,14,Yes (4 days)
Crops,Summer,Corn,Good,192,,Summer,,14,Yes (4 days)
Crops,Summer,Corn,Perfect,240,,Summer,,14,Yes (4 days)
Crops,Summer,Corn,Shining,310,,Summer,,14,Yes (4 days)
Crops,Summer,Tomato,Decent,120,,Summer,,9,Yes (3 days)
Crops,Summer,Tomato,Good,144,,Summer,,9,Yes (3 days)
Crops,Summer,Tomato,Perfect,180,,Summer,,9,Yes (3 days)
Crops,Summer,Tomato,Shining,240,,Summer,,9,Yes (3 days)
Crops,Summer,Onion,Decent,150,,Summer,,7,No
Crops,Summer,Onion,Good,180,,Summer,,7,No
Crops,Summer,Onion,Perfect,225,,Summer,,7,No
Crops,Summer,Onion,Shining,300,,Summer,,7,No
Crops,Summer,Pineapple,Decent,500,,Summer,,20,No
Crops,Summer,Pineapple,Good,600,,Summer,,20,No
Crops,Summer,Pineapple,Perfect,750,,Summer,,20,No
Crops,Summer,Pineapple,Shining,1000,,Summer,,20,No
Crops,Fall,Eggplant,Decent,130,,Fall,,9,Yes (3 days)
Crops,Fall,Eggplant,Good,156,,Fall,,9,Yes (3 days)
Crops,Fall,Eggplant,Perfect,195,,Fall,,9,Yes (3 days)
Crops,Fall,Eggplant,Shining,260,,Fall,,9,Yes (3 days)
Crops,Fall,Carrot,Decent,160,,Fall,,7,No
Crops,Fall,Carrot,Good,192,,Fall,,7,No
